2021-12-04 16:28:03,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:28:13,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:28:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:33,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:53,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:03,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:29:13,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:33,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:29:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:53,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:03,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:30:13,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:23,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:30:33,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:53,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:31:03,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:31:13,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:31:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:31:34,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:31:44,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:31:54,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:32:04,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:32:14,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:32:24,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:32:34,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:32:44,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:32:54,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:33:04,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:33:14,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:33:24,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:33:34,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:33:44,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:33:54,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:34:04,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:34:14,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:34:24,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:34:34,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:34:44,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:34:54,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:35:04,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:35:14,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:35:24,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:35:34,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:35:44,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:35:54,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:36:05,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:36:15,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:36:25,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:36:35,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:36:45,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:36:55,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:37:05,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:37:15,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:37:25,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:37:35,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:37:45,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:37:55,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:38:05,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:38:15,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:38:25,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:38:35,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:38:45,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:38:55,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:39:05,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:39:15,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:39:25,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:39:35,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:39:45,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:39:55,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:40:05,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:40:15,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:40:25,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:40:36,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:40:46,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:40:56,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:41:06,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:41:16,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:41:26,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:41:36,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:41:46,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:41:56,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:42:06,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:42:16,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:42:26,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:42:36,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:42:46,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:42:56,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:43:06,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:43:16,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:43:26,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:43:36,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:43:46,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:43:56,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:44:06,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:44:16,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:44:26,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:44:36,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:44:46,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:44:56,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:45:07,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:45:17,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:45:27,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:45:37,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:45:47,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:45:57,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:46:07,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:46:17,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:46:27,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:46:37,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:46:47,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:46:57,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:47:07,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:47:17,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:47:27,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:47:37,dht11_temp=21.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:47:47,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:47:57,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:48:07,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:48:17,dht11_temp=21.0000000000,dht11_humidity=39.0000000000
